id,name
0,driving safely with both hands on the steering wheel while driving a car
1,talking on a mobile phone while driving a car
2,texting on a mobile phone while driving a car
3,operating the radio or center console while driving a car
4,drinking water from a bottle while driving a car
5,reaching to the side while driving a car
6,adjusting hair or makeup while driving a car
7,talking to a passenger while driving a car
8,reaching to the back seat while driving a car
9,changing gear while driving a car
